Target,Source,Weight
37502963,37371598,41
33923410,34150910,20
31792271,30524278,15
35640007,35638683,14
33771715,31216866,35
36356982,36339839,18
30759881,35195783,19
33205337,32917118,38
35291511,36528890,44
35882403,35495514,10
32141019,36670932,224
37325780,37280116,91
33945200,36026402,19
34244225,34208222,65
31555707,33101979,12
35968579,31401984,10
13082216,36692072,10
37756426,37767589,24
32565028,31801070,38
31248761,34755579,29
35708053,35073232,20
34402659,34217727,46
34787546,35259476,63
33931793,32592130,34
30668086,33042426,19
35157000,32379423,26
30808374,30436453,66
34826255,30339976,11
35848015,30322669,15
37231059,37348996,17
34622637,30508322,17
34652987,34924524,39
31745593,30693288,29
33631735,34400620,19
36606286,36115489,13
37889517,37362428,25
31912801,31432333,31
33229176,34169667,35
33378345,33484264,13
33502365,34350722,17
36020654,36060739,26
37814946,37374416,17
37578969,37568683,24
37167137,37144510,14
35008637,33484264,17
35450757,35609314,10
32590626,34660485,11
34040991,34356582,32
34910478,36994598,12
35295870,34353844,17
34563724,35828056,58
35332999,31846124,15
30444195,35929635,21
33665547,35010632,41
36643695,36405851,13
33351602,30361803,20
38116097,38111299,290
36793603,34784453,23
32884766,32882756,26
35268526,33078840,22
36461326,38155125,92
38159496,38158160,48
37571683,37571642,12
32822544,36634418,163
35066447,34353844,38
31928132,36626354,35
34491416,35097206,15
33577331,30410547,19
32323451,32015910,54
31908488,33502929,11
33425766,34040991,20
38156406,38156412,40
32869033,30297580,23
31194537,33738254,11
31298721,30321769,41
33127250,31908488,24
31678860,36339839,11
30615749,31486383,70
30481583,36046937,19
33709271,33020338,10
35996951,33100185,27
34379941,35991510,124
34429642,31161208,45
38140016,38140327,30
36537336,37172850,58
31999182,33963443,10
38025688,38161955,26
31742433,30668086,16
34552390,35857883,19
37448238,37437023,21
35168857,34606895,12
31434203,32697694,14
35407138,35569242,30
35619108,30339976,11
36774965,36154467,23
32724948,31947623,10
34916239,34997639,81
37696652,38162111,77
36692484,37179195,66
34111777,36241430,224
36294608,36666642,13
38018071,38162111,94
37654815,37802570,10
31151381,30030583,22
35136951,32903044,16
38159838,38159901,302
38149207,38149705,32
36437537,31742433,28
35173785,35639409,15
35171708,33324225,12
32921060,36021858,132
35632494,36171202,11
34389361,35788811,10
36180610,34971914,20
36951196,32672267,13
36546431,37181227,12
34536102,34359494,16
30537052,37416793,62
35579608,37426733,15
34649263,32927805,16
30491118,34645181,17
38022666,38161955,18
32796649,32586243,19
30084918,35409644,11
34721076,31266017,10
33489590,35076280,79
32496106,37506718,119
36708878,35136951,29
31436605,33325249,14
32153574,36020654,21
33431751,32597127,20
32693243,34809201,12
32785932,31260939,16
35847217,35474934,11
37937606,36497304,40
31742817,31745593,18
36473107,36141532,44
35923498,35996951,33
30305751,36807727,22
38159496,38159792,29
13078568,13102929,10
33738228,34622637,13
36288960,36094967,57
30040939,33168956,15
35969623,35965488,61
31426939,34309028,17
32409775,33653735,21
36828052,33052354,11
32627072,37413949,33
36034600,31001290,40
36635431,33336512,37
36579402,36341426,13
35368271,35964235,22
33335726,30491797,35
35165845,30864581,35
30869788,33884850,19
35150735,31260939,12
34937337,32912175,26
33991116,36034133,14
31895102,36597615,162
33626816,33365479,17
31161328,32513460,11
31929192,30768679,28
31359088,31895260,18
36031779,36060256,35
35592506,35634802,26
32483383,33435100,17
35844235,36154467,17
36178294,36708878,13
35104436,32148585,14
38159690,38159792,13
32389556,33858200,14
38159578,38159792,49
30542087,32741462,13
35536585,32161519,11
35686975,36048206,26
31236592,33629954,26
34908001,36231020,13
33826119,30869788,10
33730090,31801908,21
34590200,36523034,12
31571399,33335726,22
31007472,32813479,20
34046118,30046589,15
34971914,36180610,50
38139119,38158156,31
34679133,36779792,33
35461275,34558437,45
32233892,32449871,13
37041794,36690494,35
33191112,30357732,10
34512715,31298379,11
38159002,38159275,10
31188514,35857883,28
30122238,30269053,32
34626997,36801914,29
35138856,30892367,59
34732103,30485391,15
30088857,34695644,27
36076237,36076821,36
30761488,30481356,38
35420433,30084918,15
32908843,33881922,17
35107697,37600300,126
32387687,32386901,10
33820192,37116945,15
30899336,31821709,25
36537336,36967393,25
36558881,35317562,15
30494231,36554489,14
32411379,34010462,26
34348959,36306538,11
37436066,37880294,22
34617226,31571399,14
34791650,30261886,17
31115904,34165250,21
37312380,37767589,14
35910340,37319641,32
30080701,32555487,18
34490464,37399252,11
36279553,36610110,12
36170611,35536585,18
35343197,35683801,24
34661524,36996137,165
32800737,34541398,15
36434389,36379866,21
32762321,30142416,43
31704903,32483383,13
35864767,36011232,24
36249910,36143801,13
35013635,36030754,30
32690318,30664903,21
35463796,31174211,35
30971296,31692943,14
32813022,34973728,10
34353844,33743051,35
37787894,37086020,16
34141453,36868903,85
31076354,34244225,17
32405048,35910340,11
31001290,30539705,12
35806908,36153628,13
34113419,35871049,43
37276005,33388907,44
30537052,37565728,28
31245633,34225869,10
34626997,36060739,24
31360238,36186957,45
33377717,30377845,13
30537052,35940494,50
36043352,36050714,49
35186110,33820192,10
30279402,33936689,37
31904461,32113387,34
31571080,33929942,43
33679012,31254119,15
36853052,34112832,39
37783342,36868903,55
32545613,37432714,79
35871049,35799205,24
34024122,32627145,14
31692943,30971296,18
34486470,30771977,16
36356814,30405078,27
32756790,33262268,14
34604253,35996951,16
35847322,36453751,17
35960175,32765036,15
33069901,33110469,10
36796180,36796265,17
36089027,36106638,29
35899025,36161193,20
36253004,33315438,10
34928424,30971296,10
37039547,37036111,86
36403841,37931107,37
34544102,34014873,21
33382969,34861730,19
35276649,35678761,28
33187172,33238268,23
32081813,30101454,21
34141453,37783342,13
37379452,35333053,41
36449387,36670932,45
32774912,31013160,10
34375837,34170641,23
36468399,36467950,56
35733130,34830077,11
36723365,37362854,31
36234590,35833419,15
32062587,36478116,11
31571399,34617226,11
33835830,36440265,51
31819361,35423632,10
30885040,34787546,11
31851269,34969316,17
33570937,33297830,19
32625944,31053379,72
33348918,35884306,13
35976849,36754007,11
32233198,31571399,17
34924524,33798841,13
36069703,36066817,71
36030329,36143801,33
31286404,35703423,13
33638574,35923498,25
32516174,32506448,11
32514791,30664903,19
36934991,32406734,32
35275582,34110689,13
32614984,36339839,24
32873884,36480226,17
30629980,31359088,24
34519830,32112986,11
35480698,34032260,33
34924524,36559840,50
35778217,35416426,14
36145768,36186957,15
37389011,36315118,16
37806146,37493504,27
36502034,36510494,15
37440104,37957760,22
33556255,36087634,20
37499507,37949548,20
31030538,34261992,19
